theme,url,img,lines,author
PERSISTENCE,/inspirational-quotes/8156-the-most-essential-factor-is-persistence-the,https://assets.passiton.com/quotes/quote_artwork/8156/medium/20201117_tuesday_quote.jpg?1605289355,The most essential factor is persistence—the determination never to allow your energy or enthusiasm to be dampened by discouragement.,<Author:0x00007fa85c881b78>
PERSISTENCE,/inspirational-quotes/7917-persistence-can-change-failure-into,https://assets.passiton.com/quotes/quote_artwork/7917/medium/20201116_monday_quote.jpg?1605289330,Persistence can change failure into extraordinary achievement.,<Author:0x00007fa85c8b2bd8>
HOPE,/inspirational-quotes/8155-hope-sees-the-invisible-feels-the-intangible,https://assets.passiton.com/quotes/quote_artwork/8155/medium/20201113_friday_quote.jpg?1604688356,"Hope sees the invisible, feels the intangible, and achieves the impossible.",<Author:0x00007fa85c8eb230>
HOPE,/inspirational-quotes/4624-where-hope-grows-miracles-blossom,https://assets.passiton.com/quotes/quote_artwork/4624/medium/20201112_thursday_quote.jpg?1604688335,"Where hope grows, miracles blossom.",<Author:0x00007fa85c910d28>
HOPE,/inspirational-quotes/8154-this-new-day-is-too-dear-with-its-hopes-and,https://assets.passiton.com/quotes/quote_artwork/8154/medium/20201111_wednesday_quote.jpg?1604688314,"This new day is too dear, with its hopes and invitations, to waste a moment on the yesterdays.",<Author:0x00007fa85c94ab90>
HOPE,/inspirational-quotes/8018-our-human-compassion-binds-us-the-one-to-the,https://assets.passiton.com/quotes/quote_artwork/8018/medium/20201109_monday_quote.jpg?1604688266,"Our human compassion binds us the one to the other - not in pity or patronizingly, but as human beings who have learnt how to turn our common suffering into hope for the future.",<Author:0x00007fa85c9833c8>
HOPE,/inspirational-quotes/8153-hope-is-a-passion-for-the-possible,https://assets.passiton.com/quotes/quote_artwork/8153/medium/20201110_tuesday_quote.jpg?1604688288,Hope is a passion for the possible. ,<Author:0x00007fa85c9b9f68>
CIVILITY,/inspirational-quotes/8151-make-living-your-life-with-absolute-integrity,https://assets.passiton.com/quotes/quote_artwork/8151/medium/20201106_friday_quote.jpg?1604081299,Make living your life with absolute integrity and kindness your first priority.,<Author:0x00007fa85ca0ee50>
CIVILITY,/inspirational-quotes/7715-practice-civility-toward-one-another-admire,https://assets.passiton.com/quotes/quote_artwork/7715/medium/20201105_thursday_quote.jpg?1604081275,"Practice civility toward one another. Admire and emulate ethical behavior wherever you find it. Apply a rigid standard of morality to your lives; and if, periodically, you fail as you surely will, ­adjust your lives, not the standards. ",<Author:0x00007fa85ca4d588>
CIVILITY,/inspirational-quotes/8152-dont-ever-forget-that-youre-a-citizen-of-this,https://assets.passiton.com/quotes/quote_artwork/8152/medium/20201104_wednesday_quote.jpg?1604081252,"Don't ever forget that you're a citizen of this world, and there are things you can do to lift the human spirit, things that are easy, things that are free, things that you can do every day: civility, respect, kindness, character.",<Author:0x00007fa85ca8ac30>
CIVILITY,/inspirational-quotes/7711-civility-is-the-art-and-act-of-caring-for-others,https://assets.passiton.com/quotes/quote_artwork/7711/medium/20201103_tuesday_quote.jpg?1604081224,Civility is the art and act of caring for others.,<Author:0x00007fa85cab8d10>
CIVILITY,/inspirational-quotes/7712-genuine-tolerance-does-not-mean-ignoring,https://assets.passiton.com/quotes/quote_artwork/7712/medium/20201102_monday_quote.jpg?1604081195,Genuine tolerance does not mean ignoring differences as if differences made no difference. Genuine tolerance means engaging differences within a bond of civility and respect.,<Author:0x00007fa85caebeb8>
MAKING A DIFFERENCE,/inspirational-quotes/3493-you-must-be-the-change-you-wish-to-see-in-the,https://assets.passiton.com/quotes/quote_artwork/3493/medium/20201030_friday_quote.jpg?1603383782,You must be the change you wish to see in the world.,<Author:0x00007fa85cb17bf8>
MAKING A DIFFERENCE,/inspirational-quotes/8150-but-where-was-i-to-start-the-world-is-so-vast,https://assets.passiton.com/quotes/quote_artwork/8150/medium/20201029_thursday_quote.jpg?1603383758,"But where was I to start? The world is so vast, I shall start with the country I know best, my own. But my country is so very large. I had better start with my town. But my town too, is large. I had best start with my street. No: my home. No: my family. Never mind, I shall start with myself.",<Author:0x00007fa85cb39460>
MAKING A DIFFERENCE,/inspirational-quotes/8149-each-one-of-us-can-make-a-difference-together,https://assets.passiton.com/quotes/quote_artwork/8149/medium/20201026_monday_quote.jpg?1603383688,Each one of us can make a difference. Together we make a change.,<Author:0x00007fa85cb76540>
MAKING A DIFFERENCE,/inspirational-quotes/4128-in-this-life-we-cannot-always-do-great-things,https://assets.passiton.com/quotes/quote_artwork/4128/medium/20201028_wednesday_quote.jpg?1603383733,In this life we cannot always do great things. But we can do small things with great love.,<Author:0x00007fa85cbab8f8>
MAKING A DIFFERENCE,/inspirational-quotes/6826-we-do-not-need-magic-to-transform-our-world-we,https://assets.passiton.com/quotes/quote_artwork/6826/medium/20201027_tuesday_quote.jpg?1603383711,We do not need magic to transform our world. We carry all the power we need inside ourselves already. We have the power to imagine better.,<Author:0x00007fa85cbd4848>
HARD WORK,/inspirational-quotes/3752-the-only-place-success-comes-before-work-is-in,https://assets.passiton.com/quotes/quote_artwork/3752/medium/20201023_friday_quote_update.jpg?1602883670,The only place success comes before work is in the dictionary.,<Author:0x00007fa85cc132f0>
HARD WORK,/inspirational-quotes/7750-a-dream-doesnt-become-reality-through-magic-it,https://assets.passiton.com/quotes/quote_artwork/7750/medium/20201022_thursday_quote_update.jpg?1602883540,"A dream doesn't become reality through magic; it takes sweat, determination, and hard work.",<Author:0x00007fa85cc47320>
HARD WORK,/inspirational-quotes/8147-work-hard-at-work-worth-doing,https://assets.passiton.com/quotes/quote_artwork/8147/medium/20201021_wednesday_quote.jpg?1602872491,Work hard at work worth doing. ,<Author:0x00007fa85cc68570>
HARD WORK,/inspirational-quotes/8146-the-only-limit-to-the-height-of-your,https://assets.passiton.com/quotes/quote_artwork/8146/medium/20201020_tuesday_quote.jpg?1602872463,The only limit to the height of your achievements is the reach of your dreams and your willingness to work hard for them.,<Author:0x00007fa85ccc9de8>
HARD WORK,/inspirational-quotes/4704-work-hard-be-kind-and-amazing-things-will,https://assets.passiton.com/quotes/quote_artwork/4704/medium/20201019_monday_quote.jpg?1602872415,"Work hard, be kind, and amazing things will happen.",<Author:0x00007fa85cd04038>
